home_team,away_team,home_team_score,away_team_score,game_date,stadium,public,ref,yellow_cards_home,red_cards_home,gols_home,yellow_cards_away,red_cards_away,gols_away,sec_card_home,sec_card_away,link
São Paulo FC,Club Athletico Paranaense,0,0,24 de novembro de 2021 21:30,Morumbi,43.391,Leandro Pedro Vuaden,"[{""player"": ""Reinaldo Manoel da Silva"", ""minute"": ""14'""}, {""player"": ""Jonathan Calleri"", ""minute"": ""29'""}, {""player"": ""Leonardo Pinheiro da Concei\u00e7\u00e3o"", ""minute"": ""90'""}]",[],[],"[{""player"": ""Aderbar Melo dos Santos Neto"", ""minute"": ""29'""}, {""player"": ""M\u00e1rcio Almeida de Oliveira"", ""minute"": ""71'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e37le6hndg1gy8l556ccs1q1g
Fluminense FC,SC Internacional,1,0,24 de novembro de 2021 21:30,Estádio Jornalista Mário Filho (Maracanã),17.916,Felipe Fernandes de Lima,"[{""player"": ""Marlon Rodrigues Xavier"", ""minute"": ""23'""}, {""player"": ""Wellington Aparecido Martins"", ""minute"": ""56'""}, {""player"": ""Yago Felipe da Costa Rocha"", ""minute"": ""72'""}, {""player"": ""Lucas Felipe Calegari"", ""minute"": ""90'""}, {""player"": ""Manoel Messias Silva Carvalho"", ""minute"": ""90+1'""}]",[],"[{""player"": ""Frederico Chaves Guedes"", ""minute"": ""4'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""V\u00edctor Leandro Cuesta"", ""minute"": ""54'""}, {""player"": ""Rodrigo Dourado Cunha"", ""minute"": ""81'""}, {""player"": ""Renzo Saravia"", ""minute"": ""90+2'""}, {""player"": ""Heitor Rodrigues da Fonseca"", ""minute"": ""90+6'""}, {""player"": ""Gabriel Iv\u00e1n Mercado"", ""minute"": ""90+8'""}]","[{""player"": ""Paulo Victor de Almeida Barbosa"", ""minute"": ""90+6'""}]",[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e3xcmunsho2xs29ic1i7xbgno
SE Palmeiras,Clube Atlético Mineiro,2,2,23 de novembro de 2021 21:30,Allianz Parque,17.774,Anderson Daronco,"[{""player"": ""Marcos Luis Rocha Aquino"", ""minute"": ""18'""}, {""player"": ""Gabriel Vinicius Menino"", ""minute"": ""38'""}, {""player"": ""Renan Victor da Silva"", ""minute"": ""39'""}, {""player"": ""Deyverson Brum Silva Acosta"", ""minute"": ""58'""}]",[],"[{""player"": ""Wesley Ribeiro da Silva"", ""minute"": ""28'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Deyverson Brum Silva Acosta"", ""minute"": ""57'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Diego da Silva Costa"", ""minute"": ""39'""}, {""player"": ""Ignacio Mart\u00edn Fern\u00e1ndez"", ""minute"": ""45+4'""}, {""player"": ""J\u00fanior Osmar Ignacio Alonso Mujica"", ""minute"": ""54'""}]",[],"[{""player"": ""Federico Mat\u00edas Zaracho"", ""minute"": ""36'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Givanildo Vieira de Souza"", ""minute"": ""61'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e40fzb4yge5pttd40wctq8k5w
Grêmio FB Porto Alegrense,CR Flamengo,2,2,23 de novembro de 2021 21:00,Arena do Grêmio,No data,Braulio da Silva Machado,"[{""player"": ""Jhonata Robert Alves da Silva"", ""minute"": ""51'""}, {""player"": ""Lucas Silva Borges"", ""minute"": ""57'""}, {""player"": ""J\u00e1minton Leandro Campaz"", ""minute"": ""72'""}]","[{""player"": ""Brenno Oliveira Fraga Costa"", ""minute"": ""78'""}]","[{""player"": ""Miguel \u00c1ngel Borja Hern\u00e1ndez"", ""minute"": ""75'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Aldemir dos Santos Ferreira"", ""minute"": ""82'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Ren\u00ea Rodrigues Martins"", ""minute"": ""71'""}, {""player"": ""Robert Kenedy Nunes do Nascimento"", ""minute"": ""81'""}]",[],"[{""player"": ""Victor Vin\u00edcius Coelho Santos"", ""minute"": ""58'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Victor Vin\u00edcius Coelho Santos"", ""minute"": ""74'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Jhonata Robert Alves da Silva"", ""minute"": ""60'""}]",[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/de5l9y8pq54lvhj1x6ftq8zys
Atlético Goianiense,EC Juventude,1,1,23 de novembro de 2021 19:00,Estádio Antônio Accioly,9.051,Flavio Rodrigues De Souza,"[{""player"": ""Willian Marlon Ferreira Moraes"", ""minute"": ""50'""}]",[],"[{""player"": ""Jos\u00e9 Roberto Assun\u00e7\u00e3o de Ara\u00fajo Filho"", ""minute"": ""62'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Marcos Vinicios Lopes Moura"", ""minute"": ""36'""}, {""player"": ""Ricardo Bueno da Silva"", ""minute"": ""89'""}]",[],"[{""player"": ""Ricardo Bueno da Silva"", ""minute"": ""88'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e0kbuu9snquq3ysvc8ywvymms
EC Bahia,Cuiabá EC,0,0,21 de novembro de 2021 19:00,Arena Fonte Nova,19.790,Raphael Claus,"[{""player"": ""Luis Ant\u00f4nio da Rocha J\u00fanior"", ""minute"": ""86'""}]",[],[],[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e3l96barohsejbnyocbtcz28k
Fluminense FC,América FC (Minas Gerais),2,0,21 de novembro de 2021 17:00,Estádio Jornalista Mário Filho (Maracanã),14.168,Heber Roberto Lopes,"[{""player"": ""Andr\u00e9 Trindade da Costa Neto"", ""minute"": ""48'""}]",[],"[{""player"": ""Luiz Henrique Andr\u00e9 Rosa da Silva"", ""minute"": ""43'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Frederico Chaves Guedes"", ""minute"": ""83'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Alexandre Egea"", ""minute"": ""46'""}, {""player"": ""Ad\u00edlson dos Anjos Oliveira"", ""minute"": ""80'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e323dpe386dsf73mh2mezfc44
SC Corinthians Paulista,Santos FC Sao Paulo,2,0,21 de novembro de 2021 16:00,Neo Química Arena,43.583,Leandro Pedro Vuaden,"[{""player"": ""Roni Medeiros de Moura"", ""minute"": ""82'""}]",[],"[{""player"": ""Jo\u00e3o Alves de Assis Silva"", ""minute"": ""47'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Gabriel Girotto Franco"", ""minute"": ""85'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e34uffteaih3tt98qhwieiivo
SC Internacional,CR Flamengo,1,2,20 de novembro de 2021 21:30,Beira-Rio,19.004,Sávio Pereira Sampaio,"[{""player"": ""Bruno M\u00e9ndez Cittadini"", ""minute"": ""19'""}, {""player"": ""Mois\u00e9s Roberto Barbosa"", ""minute"": ""45+3'""}]",[],"[{""player"": ""Taison Barcellos Freda"", ""minute"": ""41'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""45+3'""}]",[],"[{""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""4'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Andreas Hugo Hoelgebaum Pereira"", ""minute"": ""11'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e3fpjombjz9tct9dluj34ymfo
Atlético Goianiense,Ceará SC,1,1,20 de novembro de 2021 21:00,Estádio Antônio Accioly,2.801,Braulio da Silva Machado,"[{""player"": ""Marcelo Cabo"", ""minute"": ""18'""}]",[],"[{""player"": ""Jo\u00e3o Paulo da Silva Alves"", ""minute"": ""55'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Messias Rodrigues da Silva J\u00fanior"", ""minute"": ""72'""}, {""player"": ""Jorge de Moura Xavier"", ""minute"": ""86'""}, {""player"": ""Vin\u00edcius Goes Barbosa de Souza"", ""minute"": ""90+8'""}]",[],"[{""player"": ""Vin\u00edcius Goes Barbosa de Souza"", ""minute"": ""48'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e3tw3kqjjongeqrvigy3d3l04
