id_partida,id_partida_fonte,temporada,data_partida,ano_calendario,mes,dia_semana,hora,home_team,away_team,stadium,ref,public,publico,game_date,home_team_score,away_team_score,resultado,resultado_codigo,link,gols_eventos_mandante,amarelos_mandante,vermelhos_diretos_mandante,segundos_amarelos_mandante,expulsoes_mandante,penaltis_convertidos_mandante,gols_contra_mandante,gols_eventos_visitante,amarelos_visitante,vermelhos_diretos_visitante,segundos_amarelos_visitante,expulsoes_visitante,penaltis_convertidos_visitante,gols_contra_visitante,total_gols,saldo_gols_mandante,total_amarelos,total_expulsoes,teve_expulsao,teve_penalti_convertido,teve_gol_contra,pontos_media_ultimos_5_mandante,vitorias_ultimos_5_mandante,empates_ultimos_5_mandante,derrotas_ultimos_5_mandante,gols_marcados_media_ultimos_5_mandante,gols_sofridos_media_ultimos_5_mandante,saldo_gols_media_ultimos_5_mandante,amarelos_media_ultimos_5_mandante,expulsoes_media_ultimos_5_mandante,aproveitamento_ultimos_5_mandante,jogos_anteriores_mandante,aproveitamento_mandante_em_casa,pontos_media_ultimos_5_visitante,vitorias_ultimos_5_visitante,empates_ultimos_5_visitante,derrotas_ultimos_5_visitante,gols_marcados_media_ultimos_5_visitante,gols_sofridos_media_ultimos_5_visitante,saldo_gols_media_ultimos_5_visitante,amarelos_media_ultimos_5_visitante,expulsoes_media_ultimos_5_visitante,aproveitamento_ultimos_5_visitante,jogos_anteriores_visitante,aproveitamento_visitante_fora,utilizavel_ml
756,e6tbbzske8luc2lfkt7150f84,2021,2021-12-09 21:30:00,2021,12,quinta-feira,21,Fortaleza EC,EC Bahia,Castelão,Flavio Rodrigues De Souza,51.125,51125,9 de dezembro de 2021 21:30,2,1,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6tbbzske8luc2lfkt7150f84,2,4,0,0,0,2,0,1,2,0,0,0,1,0,3,1,6,0,0,1,0,1.2,2.0,0.0,3.0,0.4,1.4,-1.0,2.4,0.2,0.4,75,0.6666666666666666,1.4,2.0,1.0,2.0,1.6,1.2,0.4,2.2,0.4,0.4666666666666667,75,0.13333333333333333,1
757,e6w7vvsom7k0povowgmu6d7o4,2021,2021-12-09 21:30:00,2021,12,quinta-feira,21,SC do Recife,Club Athletico Paranaense,Itaipava Arena Pernambuco,Ramon Abatti,4.215,4215,9 de dezembro de 2021 21:30,1,1,draw,1,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6w7vvsom7k0povowgmu6d7o4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1.4,2.0,1.0,2.0,0.8,1.0,-0.2,2.0,0.0,0.4666666666666667,75,0.5333333333333333,1.0,1.0,2.0,2.0,0.2,0.4,-0.2,2.2,0.0,0.3333333333333333,75,0.26666666666666666,1
758,e6z3ctqzw61kb36x5erbz6cyc,2021,2021-12-09 21:30:00,2021,12,quinta-feira,21,Red Bull Bragantino,SC Internacional,Nabizão,Braulio da Silva Machado,5.339,5339,9 de dezembro de 2021 21:30,1,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6z3ctqzw61kb36x5erbz6cyc,1,4,0,0,0,0,0,0,5,0,0,0,0,0,1,1,9,0,0,0,0,0.8,1.0,1.0,3.0,1.4,1.8,-0.4,2.6,0.0,0.26666666666666666,75,0.6666666666666666,0.2,0.0,1.0,4.0,0.6,1.4,-0.8,2.4,0.2,0.06666666666666667,75,0.0,1
759,e71wrqxl7rdp6wc93apxoixhw,2021,2021-12-09 21:30:00,2021,12,quinta-feira,21,EC Juventude,SC Corinthians Paulista,Alfredo Jaconi,Rodolpho Toski Marques,17.056,17056,9 de dezembro de 2021 21:30,1,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e71wrqxl7rdp6wc93apxoixhw,1,1,0,0,0,1,0,0,2,1,0,1,0,0,1,1,3,1,1,1,0,0.8,1.0,1.0,3.0,0.6,1.4,-0.8,2.2,0.0,0.26666666666666666,37,0.7333333333333334,1.4,2.0,1.0,2.0,1.0,0.8,0.2,2.6,0.0,0.4666666666666667,75,0.06666666666666667,1
760,e74rfwz7d46xuhquen4fif8d0,2021,2021-12-09 21:30:00,2021,12,quinta-feira,21,Atlético Goianiense,CR Flamengo,Estádio Antônio Accioly,Paulo Roberto Alves Júnior,11.728,11728,9 de dezembro de 2021 21:30,2,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e74rfwz7d46xuhquen4fif8d0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,2,2,6,0,0,0,0,2.2,3.0,2.0,0.0,1.4,0.8,0.6,2.4,0.0,0.7333333333333333,75,0.6,1.6,2.0,2.0,1.0,1.4,1.2,0.2,3.0,0.0,0.5333333333333333,75,0.6,1
761,2vuokv7vsr3d6muinb8a1zswk,2022,2022-04-09 16:30:00,2022,4,sábado,16,Fluminense FC,Santos FC Sao Paulo,Estádio Jornalista Mário Filho (Maracanã),Anderson Daronco,22.855,22855,9 de abril de 2022 16:30,0,0,draw,1,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/2vuokv7vsr3d6muinb8a1zswk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.8,3.0,0.0,2.0,1.4,0.8,0.6,3.4,0.2,0.6,76,1.0,1.6,2.0,2.0,1.0,1.0,0.8,0.2,1.8,0.0,0.5333333333333333,76,0.5333333333333333,1
762,2wk9iu83684ba2k45x1qi7pck,2022,2022-04-09 19:00:00,2022,4,sábado,19,Atlético Goianiense,CR Flamengo,Estádio Antônio Accioly,Braulio da Silva Machado,10.496,10496,9 de abril de 2022 19:00,1,1,draw,1,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/2wk9iu83684ba2k45x1qi7pck,1,3,0,0,0,0,0,1,2,0,0,0,0,0,2,0,5,0,0,0,0,2.6,4.0,1.0,0.0,1.6,0.6,1.0,3.0,0.0,0.8666666666666667,76,0.6,1.0,1.0,2.0,2.0,1.0,1.4,-0.4,3.2,0.0,0.3333333333333333,76,0.5333333333333333,1
763,2w3lwxpj3zwjwi6xk08i0ox78,2022,2022-04-09 21:00:00,2022,4,sábado,21,SE Palmeiras,Ceará SC,Allianz Parque,Caio Max Augusto Vieira,27.100,27100,9 de abril de 2022 21:00,2,3,away_win,2,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/2w3lwxpj3zwjwi6xk08i0ox78,2,5,0,0,0,1,0,3,10,0,1,1,0,1,5,-1,15,1,1,1,1,1.6,2.0,2.0,1.0,1.2,0.8,0.4,2.4,0.4,0.5333333333333333,76,0.6666666666666666,1.0,1.0,2.0,2.0,0.8,1.0,-0.2,1.4,0.0,0.3333333333333333,76,0.26666666666666666,1
764,2wsjxg4fey5i8lvcp734fi1as,2022,2022-04-10 11:00:00,2022,4,domingo,11,Coritiba FBC,Goiás EC,Couto Pereira,Raphael Claus,17.788,17788,10 de abril de 2022 11:00,3,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/2wsjxg4fey5i8lvcp734fi1as,3,2,0,0,0,0,0,0,4,0,0,0,0,0,3,3,6,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,0,,0
765,2voa0xg8wbeekqp7a079mkp3o,2022,2022-04-10 16:00:00,2022,4,domingo,16,Clube Atlético Mineiro,SC Internacional,Mineirão,Bruno Arleu de Araújo,37.531,37531,10 de abril de 2022 16:00,2,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/2voa0xg8wbeekqp7a079mkp3o,2,2,0,0,0,0,0,0,4,0,0,0,0,0,2,2,6,0,0,0,0,2.0,3.0,1.0,1.0,2.8,2.4,0.4,2.8,0.0,0.6666666666666666,76,1.0,0.2,0.0,1.0,4.0,0.6,1.4,-0.8,3.2,0.2,0.06666666666666667,76,0.0,1
766,2w7u8imcrra43n1obm5nrzgno,2022,2022-04-10 16:00:00,2022,4,domingo,16,Botafogo FR,SC Corinthians Paulista,Estádio Nilton Santos,Wilton Pereira Sampaio,36.898,36898,10 de abril de 2022 16:00,1,3,away_win,2,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/2w7u8imcrra43n1obm5nrzgno,1,1,0,0,0,1,0,3,4,0,0,0,0,0,4,-2,5,0,0,1,0,,,,,,,,,,,0,,1.4,2.0,1.0,2.0,1.0,0.8,0.2,2.6,0.2,0.4666666666666667,76,0.06666666666666667,0
767,2wg6oswwf3hlrg6rril5lkftg,2022,2022-04-10 18:00:00,2022,4,domingo,18,Fortaleza EC,Cuiabá EC,Castelão,Felipe Fernandes de Lima,18.279,18279,10 de abril de 2022 18:00,0,1,away_win,2,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/2wg6oswwf3hlrg6rril5lkftg,0,2,0,0,0,0,0,1,3,0,0,0,0,0,1,-1,5,0,0,0,0,1.8,3.0,0.0,2.0,0.8,0.8,0.0,3.0,0.2,0.6,76,0.6666666666666666,1.0,1.0,2.0,2.0,0.6,1.0,-0.4,2.6,0.2,0.3333333333333333,38,0.13333333333333333,1
